Назва,Зібрана площа - га
Одеська область,605000
м.Одеса,
м.Балта,18665
м.Білгород-Дністровський,3838
м.Біляївка,2717
м.Ізмаїл,450
Ананьївський,23306
Арцизький,26603
Балтський,8458
Білгород-Дністровський,31420
Біляївський,21740
Березівський,9
Болградський,24985
Великомихайлівський,32136
Іванівський,26606
Ізмаїльський,25826
Кілійський,15280
Кодимський,14372
Лиманський,32072
Подільський,1
Окнянський,9
Любашівський,24828
Миколаївський,10798
Овідіопольський,15167
Роздільнянський,22799
Ренійський,
Савранський,12079
Саратський,41304
Тарутинський,4
Татарбунарський,13142
Захарівський,6
Ширяївський,24579
